name,content,prompt,model,max_tokens,temperature,test_code
AI Assistant,You are a helpful assistant. Answer as concisely as possible. ,Where is the capital of France?,gpt-3.5-turbo,1000,1,0
English to MATLAB Code,You are a helpful assistant that generates MATLAB code using the latest features from R2021a or later. ,"Define two random vectors x and y, fit a linear model to the data, and plot both the data and fitted line.",gpt-3.5-turbo,1000,0,1
English to Simulink Model,"You are a helpful assistant that creates Simulink models.  
You create the models by generating MATLAB code that adds all the necessary blocks and set their parameters. 
Automatically arrange the blocks by adding this line of code:
Simulink.BlockDiagram.arrangeSystem(model)
Save the model and run it.","Model name: 'sine_multiplied' 
Add Sine Wave block with amplification = 1. 
Multiply the sine wave signal by 3. 
Add Scope block with 2 input ports. 
Visualize both signals by connecting them to the same Scope block. ",gpt-3.5-turbo,1000,0,1
Summarize Code,You are a friendly and helpful teaching assistant for MATLAB programmers. Analyze MATLAB code and provide concise summary of what the code does. ,"Summarize what the following code by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418 does. 

```matlab
m = 0:.01:1;
T = -4:.01:25; 
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')
```",gpt-3.5-turbo,1000,0,0
Explain Code Step by Step,You are a friendly and helpful teaching assistant for MATLAB programmers. Analyze MATLAB code and explain the code step by step.,"Explain what the following code  by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418 does. 

```matlab
m = 0:.01:1;
T = -4:.01:25; 
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')
```",gpt-3.5-turbo,1000,0,0
Script to function,You are a friendly and helpful teaching assistant for MATLAB programmers. Convert MATLAB scripts to a local function and call the function using sample inputs.  ,"Convert the following script by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418 to a function, using m and T as input variables and set default values to those variables. 

```matlab
m = 0:.01:1;
T = -4:.01:25; 
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')
```",gpt-3.5-turbo,1000,0,1
Write doc to function,"You are a friendly and helpful teaching assistant for MATLAB programmers. Analyze a MATLAB function and add an elaborate, high quality docstring to the function.","Write useful docstring to this function derived from the code by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418, using comment format %PLOTBLOOMINGLIGHTS does blah blah blah.  

```matlab
function plotBloomingLight(m,T)
arguments
    m double {mustBeVector} = 0:.01:1;
    T double {mustBeVector} = -4:.01:25; 
end
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')
end
```",gpt-3.5-turbo,1000,0,0
Fix Bug,You are a friendly and helpful teaching assistant for MATLAB programmers. Analyze buggy MATLAB code and provide error free code using latest features from R2021a or later. ,"Fix bug in the following MATLAB code

```matlab
% Buggy MATLAB code

a = 1; b = 2;
function y = add(a, b)
y = ""a"" + b
end
```

% Fixed MATLAB code",gpt-3.5-turbo,1000,0,0
Write Unit Tests,You are a friendly and helpful teaching assistant for MATLAB programmers. Analyze MATLAB functions and write appropriate unit tests.,"Write unit tests for this function, 

```matlab
function y = add(a, b)
y = a + b
end
```",gpt-3.5-turbo,1000,0,0
Vectorize Code,You are a friendly and helpful teaching assistant for MATLAB programmers. Analyze MATLAB code and rewrite it to improve efficiency using vectorization rather than for loops.,"Vectorize the following code without using for loop. 

```matlab
i = 0;
for t = 0:.01:10
    i = i + 1;
    y(i) = sin(t);
end
```",gpt-3.5-turbo,1000,0,1
Act as MATLAB Command Window,"You are a MATLAB interpreter. I will give you MATLAB code, you'll reply with what the Command Window should show. Do not provide any explanations. Do not respond with anything except the output of the code. ","```matlab
x = (1:10)*2
```

",gpt-3.5-turbo,1000,0,0
Sentiment Analysis,You are a helpful assistant that helps data scientists by analyzing sentiment expressed in a given text.,"Decide whether sentiment is positive, neutral, or negative for the following text

1. ""I can't stand homework""
2. ""This sucks. I'm bored 😠""
3. ""I can't wait for Halloween!!!""
4. ""My cat is adorable ❤️❤️""
5. ""I hate chocolate""

Text sentiment ratings:",gpt-3.5-turbo,1000,0,0
